"sample","method","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","V","Cr","Ni","Cu","Zn","Rb","Sr","Y","Zr","Nb","Ba","Ce","Pb","Th"
"H133","pXRF",291318.66,3898.27,83258.12,30991.16,911.36,10746.38,25883.35,25114.86,1703.09,690.64,109.02,96.96,28.36,20.59,84.09,172.97,115.29,31.57,199.68,16.79,603.59,0,24.98,10.15
"H134","pXRF",261171.86,3693.81,93735.14,35740.51,928.21,27393.65,115649.08,21200.54,1023.31,480.33,117.73,162.88,97.09,20.71,94.4,109.48,417.21,18.2,122.75,14.22,492.16,0,16.05,8.31
"H135","pXRF",259222.66,3491.36,85974.23,32127.25,749.52,21457.39,88482.7,23554.58,953.16,763.79,126.9,137.03,64.05,26.57,86.12,117.94,331.64,16.95,114.78,11.86,758.68,0,14.21,5.93
"H136","pXRF",251101.23,3444.61,88612.07,29484.98,600.57,22739.01,101102.06,19328.27,1488.51,825.5,113.58,158.26,83.2,19.4,86.45,113.28,329.75,16.49,113.09,11.73,553.99,0,17.37,6.85
"H137","pXRF",266180.84,3930.71,100162.17,32790.6,689.57,25549.14,91997.99,26678,1279.02,249.47,129.78,185.95,64.84,24.36,99.03,139.22,358.37,21.22,120.91,14.11,628.07,0,16.85,10.2
"H138","pXRF",180706.33,2797.98,54726.91,27454.5,634.66,19887.47,141944.19,18020.03,824.79,262.83,77.29,108.59,0,0,52.57,78.37,320.46,15.49,128.76,10.43,315.91,0,17.85,5.57
"H139","pXRF",292160.78,6090.04,117360.81,21836.02,75.29,2755.58,3946.97,9085.89,419.37,42.31,118.23,44.74,0,15.79,35.79,59.27,71.64,15.88,363.83,18.59,323.85,0,17.26,8.04
"H140","pXRF",252860.8,6003.92,92920.28,39436.22,125.34,3764.84,4151.17,14963.61,400.07,37.82,95.13,101.43,0,0,47.24,102.48,97.59,19.47,215.37,15.61,804.68,0,23.88,9.85
"H141","pXRF",255513.34,3867.8,74454.54,29954.05,453.86,6931.01,62123.48,21657.89,987.34,625.63,105.49,122.4,0,15.65,66.27,139.05,207.52,27.07,171.06,13.28,747.32,0,16.33,8.28
"H142","pXRF",295641.47,4161.2,98723.05,39615.23,363.77,15505.14,34521.26,25547.45,1014.85,0,124.62,137.07,79.04,22.08,92.6,158.01,184.31,27.85,172.76,16.96,419.48,0,19.71,7.51
"H143","pXRF",295159.31,4356.53,95194.23,39804.89,1227.78,13573.63,12326.82,24086.17,1039.59,118.12,144.45,136.9,36.68,14.18,85.63,159.48,135.31,31.31,198.32,16.49,604.67,0,21.27,12.06
"H144","pXRF",259769.66,4523.9,85370.91,37482.72,437.41,11030.07,81954.94,15866.08,1794.09,729.61,142.05,153.54,0,17.45,84.23,87.92,364.63,16.51,145.14,16.5,877.96,0,17.1,4.92
