"sample","method","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","V","Cr","Ni","Cu","Zn","Rb","Sr","Y","Zr","Nb","Ba","Ce","Pb","Th"
"H024","pXRF",274028.69,4179.92,104400.89,42390.66,787.54,20629.58,80189.45,27255.89,788.02,405.99,124.4,181.46,72.92,27.66,95.89,156.77,315.67,23.43,151.53,19.73,372.83,0,29.04,9.44
"H025","pXRF",305003.91,4509.56,92640.52,47645.83,668.33,16820.73,6375.68,28514.59,583.73,102.77,105.94,135.03,43,42.37,120.42,167.97,118.61,32.07,247.16,21.72,361.37,0,43.64,10.38
"H026","pXRF",277587.88,4315.68,88662.46,44706.9,503.63,18192.86,5997.09,27517.92,504.62,165.07,119.95,126.58,29.44,21.33,97.88,162.88,112.69,29.5,226.01,20.26,327.04,0,25.58,9.93
"H028","pXRF",335949.75,4489.52,114025.18,41502.85,1327.71,23336.83,9295.95,28024.4,933.37,79.59,117.75,117.38,54.37,22.83,102.7,161.25,115.42,28.28,237.81,19.12,600.49,0,27.06,11.08
"H029","pXRF",299781.91,4082.2,82620.77,45412.53,1003.07,13312.27,5385.58,27109.29,479.04,63.15,110.58,126.85,43.18,30.04,99.85,160.8,105.02,26.94,218.14,19.32,488.24,0,30.51,11.18
"H030","pXRF",290519.13,4533.02,100593.28,44809.15,677.88,19595.67,7216.1,28234.72,843.86,115.14,116.15,151.52,42.91,16.27,97.7,154.3,109.31,27.84,228.47,18.73,466.35,0,24.74,10.23
"H031","pXRF",301079.91,4565.77,98168.05,42612.99,3011.65,18474.26,6104.74,28548.88,504.07,96.36,116.56,128.12,67.26,31.24,106.82,162.03,112.82,27.83,245.29,21.1,478.07,0,26.23,10.77
"H033","pXRF",277167.09,3960.41,78663.91,43454.51,750.47,13278.89,6225.51,27295.5,710.25,86.81,84.5,140.51,0,12.89,103.04,152.99,99.87,27.6,211.19,17.22,452.32,0,22.71,10.88
"H034","pXRF",305257.69,4707.53,105848.56,50086.2,1435.06,22043.83,6206.38,29651.6,589.69,123.03,127.1,142.92,48.48,19.97,103.81,161.61,112.12,30.56,246.63,21.25,465,0,29.24,10.33
"H035","pXRF",271688.88,3962.2,78994.06,41762.75,749.26,15992.81,5870.98,25819.31,502.76,34,90.03,101.84,0,11.79,91.06,150.08,102.34,24.84,222.37,19.16,332.04,0,24,8.41
